,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
0,15  Brice Dulin,80,1,1,0,0,0,92,9,0,406,65,10,0,3,0,8,0,100,0,0,0,3,0,0,0,1,0,0,0
1,14  Teddy Thomas,80,2,1,0,0,0,95,5,0,48,77,3,1,7,0,2,3,40,0,0,1,0,0,0,0,0,0,0,0
2,13  Arthur Vincent,80,1,0,0,0,0,100,9,0,0,100,1,0,5,0,15,1,93,0,0,1,0,0,0,0,0,0,0,0
3,12  Gael Fickou,59,1,0,0,0,0,18,5,0,20,91,7,1,0,0,6,0,100,0,0,0,0,0,0,0,1,0,0,0
4,11  Gabin Villiere,80,0,1,0,0,0,72,7,0,95,72,2,1,4,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0
5,10  Matthieu Jalibert,59,0,0,6,1,0,39,3,0,223,79,17,1,2,0,6,1,85,0,0,0,0,0,0,0,0,0,0,0
6,9  Antoine Dupont,59,1,4,0,0,0,80,8,0,288,83,39,2,2,0,4,1,80,20,0,1,2,0,0,0,0,0,0,0
7,1  Cyril Baille,52,0,0,0,0,0,18,6,0,0,100,1,1,1,0,7,1,87,0,0,1,0,0,0,0,0,0,0,0
8,2  Julien Marchand,45,0,0,0,0,0,5,2,0,0,100,2,1,0,0,9,1,90,0,1,0,0,0,0,0,0,0,0,0
9,3  Mohamed Haouas,52,0,0,0,0,0,7,2,0,0,100,2,1,0,0,13,4,76,0,0,0,0,1,0,0,0,0,0,0
10,4  Bernard le Roux,80,0,0,0,0,0,4,2,0,0,100,1,0,0,0,16,1,94,5,0,0,0,2,0,0,2,0,0,0
11,5  Paul Willemse,58,0,0,0,0,0,4,2,0,0,100,0,0,0,0,16,0,100,12,0,0,0,0,0,0,0,0,0,0
12,6  Dylan Cretin,80,1,0,0,0,0,39,5,0,0,100,0,0,1,0,10,1,90,0,1,0,0,1,0,0,1,1,0,0
13,7  Charles Ollivon,80,0,0,0,0,0,8,2,0,0,100,5,0,0,0,12,2,85,0,1,0,0,3,0,0,6,0,0,0
14,8  Gregory Alldritt,58,0,0,0,0,0,40,11,0,0,100,1,0,0,0,11,1,91,8,0,0,0,0,0,0,1,0,0,0
15,Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16  Pierre Bourgarit,35,0,0,0,0,0,21,4,0,0,100,0,0,1,1,3,0,100,0,1,1,1,0,0,0,0,1,0,0
17,17  Jean-Baptiste Gros,28,0,0,0,0,0,4,1,0,0,100,0,0,0,0,4,0,100,0,2,0,0,0,0,0,0,0,0,0
18,18  Dorian Aldegheri,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,1,0,2,0,0,0,0,0,0
