,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
0,15  Jacopo Trulla,80.0,0.0,0.0,0.0,0.0,0.0,96.0,11.0,0.0,102.0,80.0,8.0,2.0,1.0,0.0,2.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14  Luca Sperandio,80.0,1.0,0.0,0.0,0.0,0.0,52.0,7.0,0.0,20.0,88.0,1.0,0.0,0.0,0.0,3.0,1.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13  Marco Zanon,44.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12  Juan Ignacio Brex,80.0,0.0,0.0,0.0,0.0,0.0,131.0,15.0,0.0,26.0,95.0,7.0,0.0,1.0,0.0,10.0,1.0,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11  Monty Ioane,80.0,0.0,0.0,0.0,0.0,0.0,136.0,15.0,0.0,76.0,90.0,3.0,0.0,6.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10  Paolo Garbisi,75.0,0.0,0.0,1.0,1.0,0.0,117.0,15.0,0.0,474.0,81.0,31.0,2.0,4.0,0.0,5.0,0.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9  Stephen Varney,80.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,113.0,96.0,109.0,2.0,3.0,0.0,3.0,3.0,50.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,1  Daniele Rimpelli,31.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,2.0,33.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
8,2  Luca Bigi,59.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,100.0,4.0,1.0,0.0,0.0,8.0,1.0,88.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
9,3  Marco Riccioni,31.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
