,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
0,15  Stuart Hogg,80,0,0,0,0,0,112,13,0,367,74,8,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,14  Sean Maitland,71,0,0,0,0,0,44,4,0,0,100,3,1,2,0,2,1,66,0,0,0,2,0,0,0,0,0,0,0
2,13  Chris Harris,80,0,0,0,0,0,39,3,0,4,75,0,0,1,0,5,1,83,0,0,0,0,1,0,0,0,0,0,0
3,12  Cameron Redpath,80,0,0,0,0,0,52,5,0,44,81,4,0,2,0,5,1,83,0,1,1,0,0,0,0,1,0,0,0
4,11  Duhan van der Merwe,80,1,0,0,0,0,39,7,0,0,100,2,0,5,0,2,1,66,33,0,0,1,0,0,0,0,0,0,0
5,10  Finn Russell,70,0,0,0,2,0,38,7,0,460,51,12,1,3,0,5,1,83,16,0,5,2,1,0,0,0,0,1,0
6,9  Ali Price,69,0,0,0,0,0,3,3,0,159,88,68,0,0,0,4,0,100,0,0,2,3,1,0,0,0,0,0,0
7,1  Rory Sutherland,63,0,0,0,0,0,28,7,0,0,100,0,0,1,0,3,0,100,0,0,0,0,2,0,0,0,0,0,0
8,2  George Turner,67,0,1,0,0,0,43,9,0,0,100,2,1,0,0,4,1,80,0,0,0,0,0,0,0,0,0,0,0
9,3  Zander Fagerson,63,0,0,0,0,0,26,8,0,0,100,1,0,0,0,2,0,100,0,0,0,0,1,0,0,0,0,0,0
10,4  Scott Cummings,80,0,0,0,0,0,10,5,0,0,100,2,0,0,0,8,0,100,0,0,0,0,0,0,0,7,0,0,0
11,5  Jonny Gray,80,0,0,0,0,0,52,16,0,0,100,4,0,1,0,12,0,100,0,2,1,0,0,0,0,5,1,0,0
12,6  Jamie Ritchie,65,0,0,0,0,0,23,5,0,0,100,0,0,0,0,3,0,100,0,0,1,0,0,0,0,1,0,0,0
13,7  Hamish Watson,80,0,0,0,0,0,52,13,0,0,93,1,0,4,0,11,0,100,9,1,0,0,0,0,0,0,0,0,0
14,8  Matt Fagerson,63,0,0,0,0,0,64,16,0,0,100,2,0,2,0,2,0,100,0,1,1,0,0,0,0,0,1,0,0
15,Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16  David Cherry,13,0,0,0,0,0,4,2,0,0,100,0,0,0,0,7,0,100,0,0,0,0,0,0,0,0,0,0,0
17,17  Oli Kebble,17,0,0,0,0,0,5,3,0,0,100,0,0,0,0,1,2,33,0,0,0,0,0,0,0,1,0,0,0
18,18  WP Nel,17,0,0,0,0,0,2,1,0,0,100,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0
19,19  Richie Gray,15,0,0,0,0,0,1,1,0,0,100,1,0,0,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0
20,20  Gary Graham,17,0,0,0,0,0,20,6,0,0,100,1,0,0,0,4,1,80,0,0,0,0,0,0,0,0,0,0,0
21,21  Scott Steele,11,0,0,0,0,0,0,0,0,131,53,7,0,0,0,1,1,50,0,0,1,1,0,0,0,0,0,0,0
22,22  Jaco van der Walt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23  Huw Jones,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0
