Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC
15  Leigh Halfpenny,80,0,1,1,3,0,31,7,0,253,68,4,0,3,0,4,0,100,0,0,0,0,2,0,0,0,0,0,0
14  Louis Rees-Zammit,80,1,0,0,0,0,31,2,0,112,66,2,0,0,0,8,2,80,0,0,1,1,0,0,0,0,0,0,0
13  George North,80,1,0,0,0,0,85,8,0,0,100,6,1,5,0,9,1,90,10,0,3,1,2,0,0,0,0,0,0
12  Johnny Williams,24,0,0,0,0,0,23,4,0,0,100,0,0,1,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0
11  Hallam Amos,66,0,0,0,0,0,24,3,0,1,80,1,0,1,0,1,0,100,0,0,1,0,0,0,0,0,0,0,0
10  Dan Biggar,80,0,0,0,0,0,17,5,0,139,86,21,1,1,0,11,3,78,0,0,0,0,0,0,0,0,0,0,0
9  Tomos Williams,40,0,0,0,0,0,20,4,0,232,83,31,0,2,0,9,0,100,0,0,0,0,0,0,0,0,0,0,0
1  Wyn Jones,66,0,0,0,0,0,53,12,0,0,100,5,1,1,0,8,0,100,0,0,1,0,0,0,0,0,0,0,0
2  Ken Owens,80,0,0,0,0,0,40,7,0,0,100,2,0,0,0,20,2,90,9,0,0,0,1,0,0,0,0,0,0
3  Tomas Francis,66,0,0,0,0,0,0,0,0,0,100,1,0,0,0,19,1,95,0,0,0,0,1,0,0,1,0,0,0
4  Adam Beard,66,0,0,0,0,0,3,2,0,0,100,6,0,0,0,12,2,85,0,1,0,0,0,0,0,5,1,0,0
5  Alun Wyn Jones,80,0,0,0,0,0,27,8,0,0,100,3,0,0,1,23,1,95,4,0,1,2,1,0,0,0,0,0,0
6  Dan Lydiate,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,100,0,0,0,0,0,0,0,0,0,0,0
7  Justin Tipuric,80,0,0,0,0,0,29,7,0,0,100,8,0,0,0,29,1,96,0,1,1,1,0,0,0,3,0,0,0
8  Taulupe Faletau,80,0,0,0,0,0,47,9,0,0,100,4,0,1,0,20,4,83,0,0,1,1,0,0,0,0,0,0,0
Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16  Elliot Dee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17  Rhodri Jones,14,0,0,0,0,0,0,1,0,0,100,0,0,0,0,9,2,81,9,0,0,0,1,0,0,0,0,0,0
18  Leon Brown,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,88,0,0,0,0,0,0,0,0,0,0,0
19  Will Rowlands,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,88,0,0,0,0,0,0,0,1,0,0,0
20  Josh Navidi,68,0,1,0,0,0,20,5,0,0,100,7,1,0,0,22,1,95,8,0,1,1,1,0,0,1,0,0,0
21  Gareth Davies,40,0,0,0,0,0,9,5,0,214,79,27,1,0,0,3,1,75,0,0,0,2,0,0,0,0,0,0,0
22  Callum Sheedy,14,0,0,0,0,0,0,0,0,41,0,0,0,0,0,3,2,60,0,0,0,0,0,0,0,0,0,0,0
23  Nick Tompkins,56,0,0,0,0,0,36,6,0,0,100,3,0,2,0,8,1,88,0,0,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP - Minutes Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T - Tries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA - Try assists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C - Conversions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P - Penalty Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG - Drop Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M - Metres Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK(%) - Possession Kicked (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK - Metres Kicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH(%) - Ball played by hand (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM - Passes Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O - Offloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTs - Broken Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kon - Knock Ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM - Tackles made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT - Missed Tackles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS(%) - Tackle success (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT(%) - Dominant Tackles (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW - Turnovers won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC - Turnovers conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE - Handling errors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC - Pens conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC - Offside penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC - Scrum penalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW - Lineouts Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS - Lineouts stolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YC - Yellow Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC - Red Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
